
@RELATION sentences
@ATTRIBUTE FRAG {0,1}
@ATTRIBUTE INTJ {0,1}
@ATTRIBUTE VP {0,1}
@ATTRIBUTE RB {0,1}
@ATTRIBUTE DT {0,1}
@ATTRIBUTE S1 {0,1}
@ATTRIBUTE RBS {0,1}
@ATTRIBUTE VBN {0,1}
@ATTRIBUTE VB {0,1}
@ATTRIBUTE VBP {0,1}
@ATTRIBUTE PRP {0,1}
@ATTRIBUTE PRN {0,1}
@ATTRIBUTE MD {0,1}
@ATTRIBUTE SYM {0,1}
@ATTRIBUTE VBZ {0,1}
@ATTRIBUTE ADVP {0,1}
@ATTRIBUTE IN {0,1}
@ATTRIBUTE III {0,1}
@ATTRIBUTE VBG {0,1}
@ATTRIBUTE POS {0,1}
@ATTRIBUTE VBD {0,1}
@ATTRIBUTE LRB {0,1}
@ATTRIBUTE COMMA {0,1}
@ATTRIBUTE UH {0,1}
@ATTRIBUTE PRPSS {0,1}
@ATTRIBUTE NNS {0,1}
@ATTRIBUTE PP {0,1}
@ATTRIBUTE WHPP {0,1}
@ATTRIBUTE NNP {0,1}
@ATTRIBUTE POP {0,1}
@ATTRIBUTE AUX {0,1}
@ATTRIBUTE ADJP {0,1}
@ATTRIBUTE NX {0,1}
@ATTRIBUTE JJ {0,1}
@ATTRIBUTE RRB {0,1}
@ATTRIBUTE TO {0,1}
@ATTRIBUTE NP {0,1}
@ATTRIBUTE FW {0,1}
@ATTRIBUTE NN {0,1}
@ATTRIBUTE SBAR {0,1}
@ATTRIBUTE PDT {0,1}
@ATTRIBUTE S {0,1}
@ATTRIBUTE X {0,1}
@ATTRIBUTE WDT {0,1}
@ATTRIBUTE UCP {0,1}
@ATTRIBUTE CONJP {0,1}
@ATTRIBUTE NAC {0,1}
@ATTRIBUTE CC {0,1}
@ATTRIBUTE CD {0,1}
@ATTRIBUTE WHNP {0,1}
@ATTRIBUTE WHADVP {0,1}
@ATTRIBUTE WRB {0,1}
@ATTRIBUTE CLASS {0,1}
@DATA
0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1
0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1
0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0
0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
